names,Has rationale?,Website link,Link,senator,house11,house15,governor,lieutenantGovernor,secretaryOfState,controller,treasurer,attorneyGeneral,insuranceCommissioner,equalizationDistrict2,superintendent,stateAssembly17,stateAssembly19,cityAttorney,propA,propB,propC,propD,propE,propF,propG,propH
San Francisco Chronicle,TRUE,https://www.sfchronicle.com/,https://www.sfchronicle.com/projects/2022/california-voter-guide-june/endorsements/,Alex Padilla,NA,NA,Gavin Newsom,Eleni Kounalakis,Shirley Weber,Ron Galperin,NA,Rob Bonta,Marc Levine,NA,Tony Thurmond,Matt Haney,NA,NA,Yes,Yes,No,No,Yes,Yes,Yes,No
San Francisco Examiner,TRUE,https://www.sfexaminer.com/,https://www.sfexaminer.com/our_sections/forum/,NA,NA,NA,NA,Eleni Kounalakis,Shirley Weber,"Malia Cohen, Steve Glazer",NA,Rob Bonta,NA,NA,NA,NA,NA,David Chiu,Yes,NA,Yes,Yes,NA,NA,Yes,No
Democratic Party (SF),FALSE,https://www.sfdemocrats.org/,https://www.sfdemocrats.org/voting/endorsements/2022/3/13/june-7-2022-primary-election,Alex Padilla,Nancy Pelosi,Kevin Mullin,Gavin Newsom,Eleni Kounalakis,Shirley Weber,Malia Cohen,Fiona Ma,Rob Bonta,Ricardo Lara,Sally Lieber,Tony Thurmond,NA,Phil Ting,David Chiu,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
San Francisco Bay Guardian,TRUE,http://www.sfbg.com/,https://www.sfbg.com/2022/05/09/endorsements-chesa-boudin-june-7-san-francisco-election/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David Campos,Phil Ting,NA,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Sierra Club,FALSE,https://www.sierraclub.org/san-francisco-bay,https://www.sierraclub.org/san-francisco-bay/2022-endorsements,NA,NA,NA,NA,Eleni Kounalakis,Shirley Weber,NA,NA,Rob Bonta,Ricardo Lara,Sally Lieber,Tony Thurmond,NA,Phil Ting,NA,Yes,NA,NA,NA,NA,NA,NA,No
Green Party (SF),TRUE,https://www.sfgreenparty.org/,https://www.sfgreenparty.org/endorsements/101-june-2022-endorsements,John Parker,NA,NA,Luis Rodriguez,Mohammad Arif,Gary Blenner,Laura Wells,Meghann Adams,Dan Kapelovitz,Nathalie Hrizi,NA,Marco Amaral,NA,NA,NA,No,Yes,No,No,Yes,No,Yes,No
YIMBY Action,TRUE,https://yimbyaction.org/,https://yimbyaction.org/endorsements/,NA,NA,NA,NA,NA,NA,NA,NA,Rob Bonta,NA,NA,NA,Matt Haney,Phil Ting,David Chiu,Yes,NA,NA,NA,No,NA,NA,NA
SF Tenants Union,FALSE,https://www.sftu.org/,https://sftu.org/endorsements/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No
SF Housing Action Coalition,NA,https://www.sfhac.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GrowSF,TRUE,https://growsf.org/,https://growsf.org/voter-guide,Alex Padilla,Nancy Pelosi,Kevin Mullin,Gavin Newsom,Eleni Kounalakis,Shirley Weber,Malia Cohen,Fiona Ma,Rob Bonta,Ricardo Lara,Michela Alioto-Pier,NA,Matt Haney,NA,David Chiu,Yes,No,No,Yes,No,No,No,Yes
SF League of Pissed Off Voters,TRUE,http://www.theleaguesf.org/,https://www.theleaguesf.org/,Alex Padilla,NA,NA,Luis Rodriguez,Mohammad Arif,NA,Ron Galperin,Meghann Adams,Rob Bonta,Nathalie Hrizi,Sally Lieber,Marco Amaral,NA,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,No
