Organization,Prop A,Prop B,Prop C,Prop D,Prop E,Prop F,Prop G,Prop 1
San Francisco Chronicle,Yes,No,Yes,Yes,NA,NA,Yes,Yes
Democratic Party (SF),Yes,Yes,No,Yes,No,No,Yes,Yes
San Francisco Bay Guardian,Yes,No,No,Yes,No,No,No,Yes
SF League of Pissed Off Voters,Yes,No,No,Yes,No,No,No,Yes
YIMBY Action,Yes,NA,Yes,NA,NA,NA,NA,NA
GrowSF,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Green Party (SF),No,No,No,Yes,No,No,Yes,No
SF Berniecrats,Yes,No,No,Yes,No,No,No,No
SF Tenants Union,Yes,No,No,Yes,No,No,NA,NA
Sierra Club,Yes,NA,Yes,NA,NA,NA,NA,NA
SF Housing Action Coalition,Yes,NA,Yes,NA,NA,NA,NA,Yes
SF Labor Council,Yes,Yes,No,Yes,No,No,NA,NA
SEIU 1021,Yes,Yes,No,Yes,No,No,No,Yes
SF League of Conservation Voters,Yes,NA,Yes,NA,NA,NA,NA,NA
SPUR (Planning / Urban Research Association),Yes,NA,Yes,Yes,NA,No,NA,Yes
League of Women Voters of SF,Yes,No,NA,Yes,No,No,NA,No
SF Republican Party,No,No,Yes,Yes,Yes,Yes,Yes,NA
District 11 Democratic Club,Yes,NA,No,NA,NA,No,No,NA
Harvey Milk LGBTQ Democratic Club,Yes,NA,No,Yes,No,No,No,NA
United Democratic Club,Yes,No,Yes,NA,Yes,Yes,Yes,Yes
Ed M. Lee Asian Pacific Democratic Club,Yes,No,Yes,NA,Yes,NA,Yes,Yes
Alice B. Toklas LGBT Democratic Club,Yes,No,Yes,NA,Yes,No,NA,Yes
Bernal Heights Democratic Club,Yes,No,No,Yes,No,No,No,Yes
Chinese American Democratic Club,NA,No,Yes,NA,Yes,Yes,Yes,Yes
Eastern Neighborhoods Democratic Club,Yes,No,Yes,NA,Yes,Yes,Yes,Yes
Noe Valley Democratic Club,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Home Sharers Democratic Club,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
