Organization,Mayor,City Attorney,District Attorney,Sheriff,Treasurer,Superior Court Seat 1,Superior Court Seat 13
Democratic Party (SF),London Breed,David Chiu,Brooke Jenkins,Paul Miyamoto,Jose Cisneros,NA,NA
San Francisco Bay Guardian,Aaron Peskin,,Ryan Khojasteh,,NA,NA,NA
SF League of Pissed Off Voters,Aaron Peskin,,Ryan Khojasteh,,Jose Cisneros,NA,NA
YIMBY Action,London Breed,,,,NA,NA,NA
GrowSF,Daniel LurieLondon BreedMark Farrell,David Chiu,Brooke Jenkins,Paul Miyamoto,Jose Cisneros,NA,NA
Green Party (SF),Aaron PeskinDylan Hirsch-Shell,,Ryan Khojasteh,,NA,NA,NA
SF Berniecrats,Aaron Peskin,,Ryan Khojasteh,,NA,NA,NA
SF Tenants Union,Aaron Peskin,,Ryan Khojasteh,,NA,NA,NA
SF Housing Action Coalition,London Breed,,,,NA,NA,NA
SF Labor Council,,David Chiu,,,Jose Cisneros,NA,NA
SEIU 1021,Aaron Peskin,,,,NA,NA,NA
SF League of Conservation Voters,London Breed,,,,NA,NA,NA
SF Women's Political Committee,London BreedAaron Peskin,David Chiu,Brooke Jenkins,Paul Miyamoto,Jose Cisneros,NA,NA
TogetherSF,Mark Farrell,David Chiu,Brooke Jenkins,Paul Miyamoto,Jose Cisneros,NA,NA
SF Bicycle Coalition,London Breed,,,,NA,NA,NA
District 11 Democratic Club,Aaron Peskin,David Chiu,Ryan Khojasteh,,Jose Cisneros,NA,NA
Potrero Hill Democratic Club,,David Chiu,,Paul Miyamoto,Jose Cisneros,NA,NA
Harvey Milk LGBTQ Democratic Club,Aaron Peskin,,Ryan Khojasteh,,Jose Cisneros,NA,NA
United Democratic Club,London Breed,David Chiu,Brooke Jenkins,Paul Miyamoto,Jose Cisneros,NA,NA
Ed M. Lee Asian Pacific Democratic Club,London BreedMark Farrell,David Chiu,Brooke Jenkins,Paul Miyamoto,Jose Cisneros,NA,NA
Alice B. Toklas LGBT Democratic Club,London Breed,David Chiu,Brooke Jenkins,Paul Miyamoto,Jose Cisneros,NA,NA
Bernal Heights Democratic Club,Aaron Peskin,,Ryan Khojasteh,,Jose Cisneros,NA,NA
Chinese American Democratic Club,Mark FarrellDaniel LurieLondon Breed,David Chiu,Brooke Jenkins,Paul Miyamoto,Jose Cisneros,NA,NA
Eastern Neighborhoods Democratic Club,London Breed,David Chiu,Brooke Jenkins,Paul Miyamoto,Jose Cisneros,NA,NA
Noe Valley Democratic Club,London Breed,David Chiu,Brooke Jenkins,Paul Miyamoto,Jose Cisneros,NA,NA
Home Sharers Democratic Club,Keith FreedmanLondon BreedMark FarrellDaniel LurieDylan Hirsch-Shell,David Chiu,Broooke JenkinsRyan Khojasteh,Paul Miyamoto,NA,NA,NA
SF Young Republicans,Mark FarrellEllen Lee ZhouAaron Peskin,,,,NA,NA,NA
