Organization,President,US Senator,House CA-11,House CA-15
Democratic Party (SF),Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin
SF League of Pissed Off Voters,Kamala Harris,,,
Green Party (SF),Jill Stein,,,
Sierra Club,Kamala Harris,,Nancy Pelosi,
SEIU 1021,Kamala Harris,,Nancy Pelosi,Kevin Mullin
SF Women's Political Committee,,Adam Schiff,Nancy Pelosi,Kevin Mullin
TogetherSF,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin
SF Republican Party,Donald Trump,Steve Garvey,Bruce Lou,Anna Cheng Kramer
District 11 Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin
Potrero Hill Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,
Harvey Milk LGBTQ Democratic Club,Kamala Harris,,Nancy Pelosi,Kevin Mullin
United Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin
Ed M. Lee Asian Pacific Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin
Alice B. Toklas LGBT Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin
Bernal Heights Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,
Chinese American Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin
Eastern Neighborhoods Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,
Noe Valley Democratic Club,Kamala Harris,,Nancy Pelosi,
Home Sharers Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin
SF Young Republicans,Donald Trump,,Bruce Lou,
